name;year;union_budget;resp_budgets;local_budgets;total_budget
I. Народное хозяйство;;;;;
;1941;46491,1;2712,3;2453,4;51656,8
;1942;28215,5;1578,8;1762,3;31556,6
;1943;29280,9;1761,5;2040,1;33082,5
;1944;47329,8;3140,4;3277,9;53748,1
;1945;65434,2;4653,3;4270,2;74357,7
1. Промышленность;;;;;
;1941;28642;762,9;454,3;29859,2
;1942;17230,4;630,6;446;18307
;1943;16435,9;675,7;408,7;17520,3
;1944;28641,5;1456,4;593,6;30691,5
;1945;40984,8;2317,9;618,6;43921,3
тяжелая и машиностроительная и отдельные промышленные строительства;;;;;
;1941;27544,3;376,1;168,9;28089,3
;1942;16290,1;218,9;109,6;16618,6
;1943;15734,5;187,3;76,9;15998,7
;1944;27170,6;359,9;123,7;27654,2
;1945;38218;519,9;132,1;38870
легкая (в том числе текстильная);;;;;
;1941;409,5;108,4;56,7;574,6
;1942;310,7;249,3;168,7;728,7
;1943;174,2;311,5;140,2;625,9
;1944;484,6;565,7;150,3;1200,6
;1945;1303,1;951,7;157,7;2412,5
пищевая (в том числе, рыбная, мясная и молочная);;;;;
;1941;622,6;108,2;20,1;750,9
;1942;620,4;93,6;27,9;741,9
;1943;514,2;107,5;48,3;670
;1944;959,9;345,4;70,3;1375,6
;1945;1430,3;496,7;61,4;1988,4
местная (в том числе местная топливная);;;;;
;1941;-;164,1;204,2;368,3
;1942;-;67,8;139;206,8
;1943;-;65,6;142,6;208,2
;1944;-;180,5;234,3;414,8
;1945;-;308;238,5;546,5
кинопромышленность;;;;;
;1941;65,6;6,1;4,4;76,1
;1942;9,2;1;0,8;11
;1943;13;3,8;0,7;17,5
;1944;26,4;4,9;15;46,3
;1945;33,4;41,6;28,9;103,9
2. Сельское хозяйство;;;;;
;1941;7522,2;1407,4;465,5;9395,1
;1942;4127,8;657;320,8;5105,6
;1943;4069,7;702,9;366,5;5139,1
;1944;5751;1011,9;547,8;7310,7
;1945;7163,9;1445,9;672,2;9282
зерновые и животноводческие совхозы НК совхозов;;;;;
;1941;976,6;923,7;-;1900,3
;1942;874,8;474,4;-;1349,3
;1943;663,5;510,2;-;1173,7
;1944;734,9;690,3;-;1425,2
;1945;876;976,6;-;1852,6
мероприятия по НК земледелия;;;;;
;1941;6346,4;213,6;404,2;6964,2
;1942;3192,7;67,7;287,3;3547,7
;1943;3331,7;88,9;332,8;3753,4
;1944;4919,6;184,1;510;5613,7
;1945;6145,6;274;634,7;7054,3
в том числе МТС;;;;;
;1941;5526,8;-;-;5526,8
;1942;2902,8;-;-;2902,8
;1943;3016,6;-;-;3016,6
;1944;4328,3;-;-;4328,3
;1945;5346,1;-;-;5346,1
лесное хозяйство;;;;;
;1941;147,7;5;53,7;206,4
;1942;60,3;-;30,2;90,5
;1943;74,5;-;30,3;104,8
;1944;96,5;0,7;33,3;130,5
;1945;142,3;13,1;33,2;188,6
водное хозяйство;;;;;
;1941;-;265,1;7,6;272,7
;1942;-;114,9;3,3;118,2
;1943;-;103,8;3,4;107,2
;1944;-;136,8;4,5;141,3
;1945;-;182,2;4,3;186,5
мероприятия по Переселенческому управлению;;;;;
;1941;51,5;-;-;51,5
;1942;-;-;-;-
;1943;-;-;-;-
;1944;-;-;-;-
;1945;-;-;-;-
3. Торговля, снабжение и заготовки;;;;;
;1941;1342,2;9,8;52,2;1404,2
;1942;724,6;3;40,9;768,5
;1943;605,7;8,3;47,5;661,5
;1944;1081,5;32,2;190,1;1303,8
;1945;1779,8;52,1;339,9;2171,8
внутренняя торговля;;;;;
;1941;63;9,8;52,2;125
;1942;28;3;40,9;71,9
;1943;28,8;8,3;47,5;84,6
;1944;14,2;32,2;190,1;236,5
;1945;1,3;52,1;339,9;393,3
внешняя торговля;;;;;
;1941;22,6;-;-;22,6
;1942;16,1;-;-;16,1
;1943;20,9;-;-;20,9
;1944;304,4;-;-;304,4
;1945;365,8;-;-;365,8
заготовки;;;;;
;1941;1256,6;-;-;1256,6
;1942;680,5;-;-;680,5
;1943;556;-;-;556
;1944;762,9;-;-;762,9
;1945;1412,7;-;-;1412,7
4. Транспорт;;;;;
;1941;5164,4;289,7;159,1;5613,2
;1942;3808,1;161,3;71,7;4041,1
;1943;5439,7;139;71,5;5650,2
;1944;8652,9;231,7;95,3;8979,9
;1945;10140,4;333,7;123,6;10597,7
железнодорожный;;;;;
;1941;2945,8;-;-;2945,8
;1942;2615,4;-;-;2615,4
;1943;4091,8;-;-;4091,8
;1944;6735,6;-;-;6735,6
;1945;6634,1;-;-;6634,1
морской;;;;;
;1941;256,3;-;-;256,3
;1942;203,5;-;-;203,5
;1943;242,9;-;-;242,9
;1944;336,7;-;-;336,7
;1945;689;-;-;689
речной;;;;;
;1941;417,6;-;-;417,6
;1942;209,9;-;-;209,9
;1943;338,8;-;-;338,8
;1944;550,1;-;-;550,1
;1945;1009,4;-;-;1009,4
Северный морской путь;;;;;
;1941;286,6;-;-;286,6
;1942;171,9;-;-;171,9
;1943;204,5;-;-;204,5
;1944;270,2;-;-;270,2
;1945;609,2;-;-;609,2
гражданский воздушный флот;;;;;
;1941;516;3,1;7,8;526,9
;1942;301;-;-;301
;1943;312,9;-;-;312,9
;1944;357,8;-;-;357,8
;1945;507,5;-;-;507,5
шоссейные дороги и автомобильный транспорт;;;;;
;1941;742,1;286,6;151,3;1180
;1942;306,4;161,3;71,7;539,4
;1943;248,8;139;71,5;459,3
;1944;402,5;231,7;95,3;729,5
;1945;691,2;333,7;123,6;1148,5
5. Связь;;;;;
;1941;76,7;-;23,6;100,3
;1942;200,8;-;7,3;208,1
;1943;186,8;-;8,5;195,3
;1944;321,6;-;18,5;340,1
;1945;359,8;-;63,5;423,3
6. Коммунальное и жилищное хозяйство;;;;;
;1941;-;95,4;1207,9;1303,3
;1942;-;20,8;810;830,8
;1943;-;128,2;1048,3;1176,5
;1944;-;205,4;1783;1988,4
;1945;-;269,1;2323,3;2592,4
7. Гидрометеорологическая служба;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;-;-;-;-
;1944;-;-;-;-
;1945;-;-;-;-
8. Прочие расходы на финансирование народного хозяйства;;;;;
;1941;3743,6;147,1;90,8;3981,5
;1942;2123,8;106,1;65,6;2295,5
;1943;2543,1;107,4;89,1;2739,6
;1944;2881,3;202,8;49,6;3133,7
;1945;5005,5;234,6;129,1;5369,2
II. Социально-культурные мероприятия;;;;;
;1941;13575,5;5156,3;12666,9;31398,7
;1942;15239,6;3695,5;11380,3;30315,4
;1943;18970;5473,6;13237,2;37680,8
;1944;25173,7;6988,2;19111,1;51273
;1945;31023,4;8370,3;23317,4;61711,1
1. Просвещение;;;;;
;1941;6070,8;2186,7;7253,8;15511,3
;1942;3603;1043,7;5749,4;10396,1
;1943;4449,8;1332;7411,6;13193,4
;1944;6538,6;2287,5;11836,4;20662,5
;1945;8232,5;3543,5;14592,4;26368,4
а) научные и научно-исследовательские учреждения;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;338,3;194,8;107,6;640,7
;1944;418;378,1;142,8;938,9
;1945;624,1;585,5;192,6;1402,2
б)подготовка кадров;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;3246,5;768,4;331,6;4346,5
;1944;4929,2;1481,8;717,5;7128,5
;1945;6124,9;2348;922,6;9395,5
высшие учебные заведения и курсы высшей квалификации;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;637,3;523,6;18,1;1179
;1944;1094,8;981,2;29,2;2105,2
;1945;1489;1502;39,2;3030,2
техникумы, рабфаки, специальные средние учебные заведения и курсы по подготовке кадров средней квалификации;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;245,1;141,3;217,4;603,8
;1944;613,9;311,1;470,3;1395,3
;1945;921,7;600,7;619,1;2141,5
подготовка массовых кадров;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;2364,1;103,5;96,1;2563,7
;1944;3220,5;189,5;218;3628
;1945;3714,2;245,3;264,3;4223,8
в том числе государственные трудовые резервы;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;1986;-;-;1986
;1944;2663,4;-;-;2663,4
;1945;2971;-;-;2971
в) школы;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;211,8;23,6;4879,1;5114,5
;1944;339,4;40,1;7956,8;8336,3
;1945;372,8;40,4;9327,9;9741,1
г) детские сады и площадки и детские дома;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;570,2;209,2;1461,2;2240,6
;1944;746,2;151,2;2125,2;3022,6
;1945;932,7;176,7;2547,2;3656,6
д) прочие мероприятия по просвещению;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;83;136;632,1;851,1
;1944;105,8;236,3;894,1;1236,2
;1945;178;392,9;1602,1;2173
2. Здравоохранение;;;;;
;1941;843,4;855,6;5115,8;6814,8
;1942;670,4;756,4;5339,4;6766,2
;1943;829,7;2157,4;5460,8;8447,9
;1944;1080,1;2281,1;6831;10192,2
;1945;1213,1;2010,6;8142,8;11366,5
лечебные, лечебно-профилактические и санитарно-противоэпидемические учреждения и мероприятия (в том числе противотурберкулезные и детские);;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;571,2;356,5;3696;4623,7
;1944;619;363,2;4719,5;5701,7
;1945;715,7;459,7;5584,1;6759,5
;1945;;;;
родовспоможение и лечебно-профилактическая помощь детям;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;101,1;7,7;1484,7;1593,5
;1944;122,4;8,9;1742,5;1873,8
;1945;157,5;21,6;2100,2;2279,3
прочие учреждения и мероприятия по здравоохранению;;;;;
;1941;-;-;-;-
;1942;-;-;-;-
;1943;157,4;1793,2;280,1;2230,7
;1944;338,7;1909;369;2616,7
;1945;339,9;1529,3;458,5;2327,7
3. Физическая культура;;;;;
;1941;-;9,8;20,8;30,6
;1942;-;2,1;10;12,1
;1943;3,7;4,2;17,6;25,5
;1944;6,4;8,1;27,1;41,6
;1945;27,6;36,8;54,1;118,5
4. Охрана труда и социальное обеспечение;;;;;
;1941;2115,5;2104,2;276,5;4495,2
;1942;7627;1893,3;281,5;9801,8
;1943;10204,2;1980;347,2;12531,4
;1944;12941,2;2411,5;416,6;15769,3
;1945;14455,3;2779,4;528,1;17762,8
в том числе за счет средств государственного социального страхования;;;;;
;1941;-;1965,8;-;1965,8
;1942;-;1787,5;-;1787,5
;1943;-;1842,1;-;1842,1
;1944;-;2233,7;-;2233,7
;1945;-;2545,4;-;2545,4
5. Государственное пособие многодетным и одиноким матерям;;;;;
;1941;1178,3;-;-;1178,3
